27;201707;24;677.00
49;201708;1;420.00
22;201706;4;928.00
28;201708;19;757.00
19;201708;5;237.00
6;201708;24;25.00
33;201704;25;581.00
7;201711;12;853.00
23;201710;2;59.00
38;201701;12;969.00
50;201710;8;463.00
13;201712;17;490.00
21;201704;6;486.00
5;201705;25;505.00
7;201710;3;512.00
15;201702;14;51.00
46;201702;8;567.00
19;201705;5;428.00
41;201712;21;982.00
27;201710;2;218.00
7;201711;9;744.00
28;201710;17;88.00
19;201704;16;97.00
22;201701;22;345.00
35;201708;23;670.00
11;201708;17;316.00
35;201707;19;156.00
47;201701;13;48.00
2;201710;8;451.00
41;201712;7;496.00
23;201703;23;305.00
9;201702;13;562.00
31;201707;22;815.00
3;201709;14;439.00
2;201703;19;141.00
11;201703;25;299.00
43;201702;16;951.00
22;201710;13;136.00
6;201705;16;594.00
46;201708;23;225.00
50;201704;5;41.00
38;201711;19;822.00
23;201701;3;912.00
17;201712;18;215.00
45;201708;19;814.00
24;201702;5;601.00
13;201705;9;889.00
5;201710;12;123.00
30;201712;23;663.00
18;201709;14;215.00
24;201706;16;854.00
8;201706;10;732.00
4;201710;11;506.00
14;201702;1;660.00
2;201711;2;542.00
10;201709;13;922.00
47;201708;21;698.00
46;201708;19;392.00
37;201710;22;662.00
38;201702;5;452.00
36;201703;22;581.00
18;201708;5;358.00
29;201710;10;85.00
48;201712;21;648.00
31;201710;4;699.00
44;201710;22;876.00
10;201701;11;274.00
2;201708;23;930.00
47;201702;11;186.00
43;201710;18;244.00
3;201704;14;494.00
31;201704;7;62.00
15;201711;21;228.00
34;201710;1;596.00
16;201709;16;188.00
14;201703;8;757.00
17;201712;3;757.00
47;201709;14;882.00
48;201708;23;493.00
5;201712;20;656.00
13;201710;21;556.00
28;201709;20;723.00
38;201702;16;715.00
7;201701;16;917.00
38;201712;17;570.00
10;201703;25;217.00
16;201702;18;320.00
35;201709;21;146.00
17;201702;13;255.00
34;201707;6;674.00
30;201712;1;964.00
8;201702;8;252.00
36;201712;24;586.00
27;201701;4;205.00
43;201710;25;725.00
13;201702;3;132.00
17;201707;9;691.00
9;201707;3;441.00
30;201712;3;837.00
11;201705;17;431.00
35;201703;24;3.00
27;201711;19;316.00
10;201702;9;320.00
42;201705;15;853.00
18;201703;20;186.00
2;201706;11;317.00
3;201707;6;312.00
44;201706;4;928.00
49;201705;20;853.00
2;201701;19;534.00
33;201705;18;974.00
45;201710;18;768.00
46;201707;1;85.00
15;201701;11;942.00
3;201703;10;360.00
5;201703;11;734.00
6;201701;13;423.00
35;201704;3;509.00
31;201708;12;568.00
29;201712;23;942.00
22;201708;4;242.00
19;201707;1;629.00
15;201704;20;776.00
48;201709;3;61.00
49;201704;3;282.00
9;201707;5;919.00
42;201701;10;522.00
16;201704;18;871.00
37;201701;21;997.00
13;201711;4;71.00
19;201708;8;598.00
21;201708;1;552.00
5;201702;3;439.00
21;201707;21;423.00
16;201707;8;977.00
6;201708;16;993.00
13;201712;19;614.00
21;201701;24;528.00
29;201705;16;342.00
12;201701;24;124.00
20;201704;12;437.00
7;201708;12;927.00
46;201706;16;6.00
40;201706;13;25.00
6;201704;3;776.00
22;201712;10;880.00
5;201702;23;636.00
19;201704;2;924.00
33;201704;10;546.00
5;201710;21;258.00
22;201706;1;878.00
50;201712;17;236.00
20;201711;5;172.00
21;201712;19;457.00
30;201701;9;883.00
3;201711;17;774.00
30;201707;2;995.00
24;201703;1;893.00
33;201712;1;547.00
1;201704;19;784.00
42;201702;20;710.00
35;201705;10;585.00
50;201705;19;804.00
45;201702;5;565.00
17;201711;9;954.00
34;201706;20;695.00
8;201703;24;150.00
8;201704;4;307.00
23;201704;1;483.00
35;201711;25;712.00
1;201708;14;288.00
28;201702;10;123.00
13;201708;16;618.00
14;201704;2;432.00
41;201701;8;48.00
7;201706;8;758.00
39;201712;15;460.00
21;201710;10;294.00
16;201706;6;873.00
24;201705;10;388.00
25;201711;12;902.00
20;201712;7;378.00
6;201706;14;738.00
24;201712;21;545.00
24;201709;18;151.00
25;201709;3;338.00
26;201712;15;746.00
37;201711;14;145.00
11;201704;7;689.00
3;201705;25;436.00
7;201701;5;567.00
19;201702;3;765.00
47;201703;2;123.00
40;201704;3;726.00
17;201702;11;920.00
40;201703;14;867.00
