1,201701,123,1.0
2,201702,123,2.0
3,201703,456,1.5
4,201704,456,3.0
5,201705,123,1.0
6,201706,789,4.0
7,201707,123,3.0
8,201708,123,1.0
9,201709,456,2.0
10,201710,456,1.5
11,201711,123,1.0
12,201712,123,2.0
1,201702,123,1.0
2,201703,123,2.0
3,201704,456,1.5
4,201705,456,3.0
5,201706,123,1.0
6,201707,789,4.0
7,201708,123,3.0
8,201709,123,1.0
9,201710,456,2.0
10,201711,456,1.5
11,201712,123,1.0
12,201701,123,2.0
1,201002,123,1.0
2,201103,123,2.0
3,201204,456,1.5
4,201305,456,3.0
5,201406,123,1.0
6,201507,789,4.0
7,201608,123,3.0
8,201009,123,1.0
9,201110,456,2.0
10,201211,456,1.5
11,201312,123,1.0
12,201401,123,2.0
1,201302,123,1.0
2,201403,123,2.0
3,201504,456,1.5
4,201605,456,3.0
5,201106,123,1.0
6,201207,789,4.0
7,201308,123,3.0
8,201409,123,1.0
9,201510,456,2.0
10,201611,456,1.5
11,201012,123,1.0
12,200801,123,2.0
