09	200304	05	304428
19	201001	51	86772
70	201407	05	215304
32	201806	23	479808
18	200510	24	397954
68	201605	12	21923
49	200508	58	12277
40	200205	33	258920
02	201501	30	53883
16	201108	57	171497
70	200109	64	427759
59	201712	48	133206
40	201111	55	79865
44	201010	43	159105
15	201010	17	346755
45	200907	56	483497
16	201211	58	113497
62	200409	16	183612
41	200902	44	370986
08	200306	28	415300
50	200904	59	299338
25	200608	59	269128
47	200209	09	119449
70	201309	43	417288
06	200811	21	364919
52	200012	12	42837
50	200002	20	467489
48	201109	05	9418
64	200104	20	367056
10	201108	05	322276
45	200305	30	1807
49	200902	59	141578
13	201710	37	468098
47	200910	05	218593
15	200803	02	175134
21	200901	08	370377
01	200104	49	98764
05	201306	54	151311
39	201512	14	330975
12	200405	07	405553
27	201507	69	247004
18	200009	53	419395
10	201703	44	342430
43	200406	66	426985
43	200309	62	271983
61	201612	26	169946
31	201105	43	458286
15	201110	38	167123
29	201011	25	232361
07	200301	10	243451
03	200105	29	413913
41	200304	66	18433
11	200701	19	219196
50	200402	37	33362
40	201712	38	434722
16	201612	40	84114
31	200401	49	75199
20	201802	57	402210
64	200809	44	92533
24	200505	69	441255
30	201009	62	224486
38	201101	03	93340
02	201506	58	82833
43	200807	28	192583
15	200110	08	310934
17	200408	59	256967
63	201808	36	62959
15	200301	57	408698
22	201802	43	407279
32	201507	49	392935
26	200706	63	314251
49	201408	41	154283
50	201504	32	312330
36	200608	37	156681
22	200002	36	81267
23	200012	23	84312
27	200307	62	325627
53	201206	09	39553
37	201110	60	250435
55	201306	17	57988
60	201606	18	282004
40	201302	19	164348
25	201709	12	75421
70	200407	37	1200
19	201703	55	196710
65	201609	50	10143
15	200107	06	84314
49	200303	33	270910
15	201511	36	411354
08	200903	50	175847
02	200908	32	212165
45	200708	27	135839
46	200203	52	268188
04	200501	19	293998
17	201602	55	327423
60	200401	60	79122
21	200909	08	50965
10	201510	21	389383
05	200702	46	486821
42	200810	50	457244
42	201105	69	282317
31	201407	39	301072
21	200406	21	111527
21	200808	31	94647
66	200103	05	456753
42	200408	57	191795
43	200908	54	177959
22	200509	67	282380
24	201701	65	230348
10	200205	44	427395
06	200003	14	339369
14	201407	13	12352
49	201507	62	91742
31	201812	26	413790
13	201802	50	12552
68	201409	46	287453
26	201609	05	422934
28	200108	56	95867
46	201712	09	58362
40	201207	40	334287
35	201111	35	270715
48	200707	40	269528
15	200102	67	469127

