NORTE,BR1,20170110,15
NORTE,BR3,20170110,35
SUL,BR2,20170111,45
LESTE,BR3,20170112,23
NORTE,BR1,20170111,43
LESTE,BR3,20170112,46
SUL,BR4,20170112,76
OESTE,BR1,20170111,35
NORTE,BR3,20170112,24
OESTE,BR2,20170114,23
SUL,BR4,20170110,45
SUL,BR2,20170112,67
NORTE,BR3,20170114,61
LESTE,BR1,20170114,72
NORTE,BR2,20170112,120
LESTE,BR4,20170110,84
LESTE,BR3,20170112,49
SUL,BR3,20170113,52
SUL,BR5,20170113,47
OESTE,BR3,20170111,46
SUL,BR5,20170113,41
OESTE,BR3,20170112,23
NORTE,BR2,20170114,22
SUL,BR1, 20170115,64
OESTE,BR2,20170115,71
NORTE,BR3,20170115,57
LESTE,BR3,20170116,51
NORTE,BR1,20170112,33
NORTE,BR3,20170115,56
SUL,BR2,20170115,24
LESTE,BR3,20170116,19
NORTE,BR1,20170116,29
LESTE,BR3,20170118,54
SUL,BR4,20170114,57
OESTE,BR1,20170117,34
NORTE,BR3,20170118,19
OESTE,BR2,20170123,12
SUL,BR4,20170112,75
SUL,BR2,20170113,23
NORTE,BR3,20170114,63
LESTE,BR1,20170115,72
NORTE,BR2,20170115,20
LESTE,BR4,20170113,43
LESTE,BR3,20170114,72
SUL,BR3,20170117,19
SUL,BR5,20170117,16
OESTE,BR3,20170115,72
SUL,BR5,20170116,25
OESTE,BR3,20170116,83
NORTE,BR2,20170116,26
SUL,BR1,20170118,62
OESTE,BR2,20170119,71
NORTE,BR3,20170120,78
LESTE,BR3,20170121,36
OESTE,BR3,20170122,36
