66,11/2009,15,1003
1185,3/1987,23,7265
676,9/1981,47,4311
2716,11/1982,21,4021
1157,3/1963,15,6926
1929,2/1996,16,6643
3189,7/1985,26,755
315,11/2010,25,1135
2700,5/1964,12,3998
3050,1/1982,23,4043
2811,3/1998,41,4047
2615,9/1974,46,4631
2123,11/1972,43,1792
4559,11/1953,8,6381
1380,12/2009,25,2862
844,6/2006,40,3725
4827,1/2012,30,523
3155,7/1999,36,7489
2067,9/2016,48,6495
2634,4/1961,17,6997
2222,6/1984,19,6396
4919,8/1998,17,5958
1819,1/1991,32,3347
3485,1/1980,15,3786
4572,8/1976,42,4700
3850,12/1979,37,6513
4024,1/1990,41,7355
1679,8/1970,7,4487
1840,12/1981,11,3646
3696,2/1986,50,5252
3333,9/1959,47,5311
2414,9/1963,12,6687
4697,4/1956,34,2045
2981,1/1996,14,3518
1929,9/1961,14,7315
351,2/1978,15,7343
957,1/1956,39,4006
3627,5/1973,24,460
1140,6/2010,9,925
1732,4/2017,28,2460
441,10/1990,41,3801
4588,3/1965,40,7834
357,8/1983,29,7137
2831,10/1997,23,5142
4454,4/2004,36,909
1123,12/1951,25,4797
4441,10/2014,20,3164
2691,1/1952,8,2323
9,7/1958,7,5786
565,5/2010,5,1904
4761,6/1953,9,5284
4819,1/1956,16,4772
3555,2/1960,38,4581
2137,2/1995,49,635
1554,1/2010,15,4123
1152,6/1952,33,871
3234,5/1959,12,2223
2958,11/2000,36,2281
267,4/1978,26,2129
3455,11/2002,2,3040
1058,8/1970,8,486
4559,3/1980,22,6784
3121,3/1983,44,4724
4641,8/1993,34,6595
1891,5/2005,42,7261
2562,7/2006,15,1225
4649,11/1957,43,846
597,11/1967,17,7706
2258,9/2002,34,6717
4579,9/2017,47,2261
3298,9/1989,49,7840
1744,8/1962,42,3095
3337,10/1958,28,4780
1142,12/1956,47,942
2175,10/1999,42,5698
1430,9/1954,40,226
2427,9/2003,18,1855
1531,10/1972,14,4711
1788,5/1963,32,3484
2,3/1967,47,3364
714,5/1969,46,7995
1820,2/1964,34,3964
4236,4/1957,1,7824
593,8/2003,12,1582
4911,11/2010,9,654
2908,9/1971,14,4678
2094,4/1950,31,2592
3034,12/2008,50,678
1506,1/2005,40,6837
4664,8/1963,9,3381
4912,5/1981,4,559
756,11/1956,13,7561
1300,5/2017,17,4516
1646,2/1965,31,3691
2708,2/2011,26,5470
3984,2/1980,2,5802
1734,4/1950,8,5975
4272,8/2007,40,7135
4154,2/2013,37,2966
4826,3/1966,14,3594
478,7/1970,13,1396
2471,8/1956,27,2542
431,9/1996,1,2794
3669,8/1961,8,3780
1306,3/1986,46,5727
3798,6/1962,20,4194
1163,5/1965,1,1775
598,12/2015,11,1467
681,4/1997,47,3268
3810,7/2013,38,3244
364,9/1970,47,7210
1381,10/1981,41,3825
2057,1/2002,16,3987
3535,7/1993,8,4131
4326,2/2000,8,7545
1191,8/2008,43,2732
4162,10/1971,50,7189
3417,3/2003,35,6410
2511,11/1997,1,7158
1184,2/1969,38,7157
2615,1/1952,50,1002
2232,2/1981,32,6329
1507,12/1991,20,1948
2299,11/1962,41,3477
1516,11/2005,45,7700
2697,3/2013,3,2943
4689,5/1969,2,308
4936,2/2016,41,1796
2048,7/1983,31,2837
4929,11/1981,49,3042
2225,3/1985,23,4953
1322,8/1991,42,1459
3411,10/1956,32,6548
105,3/2005,34,2965
2356,9/1972,34,1957
1148,4/1988,16,3451
471,3/1999,47,5220
921,7/1969,11,2935
1267,4/1964,36,3536
1661,9/1977,12,2671
4195,11/1963,29,7264
2674,2/2009,49,3104
1271,5/1970,16,1520
1223,4/1981,32,2614
1783,10/1952,48,5113
4637,6/2010,34,6809
1808,4/1973,18,4492
1102,7/2000,24,5015
383,5/2011,22,1188
2035,10/1966,43,3305
280,6/2000,29,1937
2028,1/1988,35,7123
4601,8/1978,47,4605
4468,9/2002,49,584
2827,4/1984,24,2896
1535,1/2016,28,730
2255,7/1962,38,2201
3534,10/1955,6,6547
851,11/2006,4,1829
374,1/1964,3,6015
3981,2/2004,24,2600
2130,7/2013,24,1416
2257,6/2000,5,6994
2183,4/1954,2,6930
2057,4/1962,22,5358
1408,6/1982,47,2430
1358,12/1961,15,4491
3744,4/1985,39,3989
278,1/1994,17,3712
318,8/1959,44,7928
4643,8/1997,6,4881
2495,1/1997,15,3955
866,10/1993,2,5577
3295,4/1995,42,6168
967,10/1995,42,6647
3211,6/1955,27,5571
4356,1/1967,38,4101
733,9/2013,16,7591
2434,8/1985,40,6707
4045,12/2011,15,852
2314,8/1995,44,6221
4889,9/2002,39,4603
2916,8/1968,34,6308
4077,12/1952,42,4677
2704,12/1983,27,5009
2924,6/1954,28,3595
1387,12/1974,47,5072
3670,10/2015,9,716
1063,1/1955,26,3011
1972,8/1963,12,5995
4516,6/2003,7,4720
1777,9/2009,9,4450
3745,10/1994,50,7639
3510,2/1996,7,5716
2290,9/2014,34,6041
531,2/1993,23,7091
828,6/1983,15,2597
3875,1/1969,9,5340
4364,7/1964,24,6097
3640,6/1994,49,1770
2258,9/2006,36,4083
1318,3/1995,31,5352
216,3/1973,30,2906
2787,2/1978,47,2864
3004,1/2010,21,3323
969,3/1976,18,113
4021,12/1963,39,1742
1361,2/1991,34,2549
1388,7/1971,3,5523
3406,2/1964,28,7982
1368,6/2002,18,4122
4219,7/1996,38,947
3535,10/1950,21,3655
1025,1/2008,29,6301
1418,9/2012,15,87
2206,6/1969,24,3428
4629,3/1961,2,3764
873,3/1983,47,293
1216,5/1954,27,7671
2482,10/2000,39,2524
3008,9/1988,17,7019
1512,9/1954,35,2211
584,3/2017,4,7504
2849,1/1972,24,6355
4683,9/2009,45,6670
3885,5/1962,26,3916
3432,5/2017,12,5302
309,9/1974,12,5455
2640,4/1993,31,1393
175,2/1991,46,2223
510,3/2006,18,7879
2432,12/1950,1,4954
4266,5/2012,31,2229
201,6/1955,46,2596
1078,3/1975,40,6772
3325,5/1981,30,2880
2707,9/1970,17,5566
3164,3/1950,19,2618
1351,5/1960,5,2041
551,12/1962,49,4391
327,5/1977,22,2129
819,9/1952,9,3083
2468,12/1951,48,1431
2587,6/2005,46,1160
360,11/1989,22,6691
2115,5/1968,29,6768
3636,1/1991,38,227
905,8/1957,40,2187
1096,3/1965,36,1816
4126,1/2001,46,1181
1630,5/1963,33,4297
59,7/1965,17,6266
4883,6/1980,6,4919
952,6/1971,9,3725
2806,12/1972,4,3655
1150,2/1970,30,7364
4282,2/2004,23,4433
1207,7/2003,42,6422
1135,9/1950,19,5210
520,4/1969,15,349
2417,2/2011,31,2018
1709,1/2013,23,3908
3074,11/1980,3,403
4324,8/1978,1,6073
545,4/1977,19,3022
3991,5/2005,27,4260
3210,9/1981,15,2984
279,5/1988,2,7495
3929,11/2013,48,2033
4091,3/1956,7,4146
2427,12/1996,30,1359
683,10/2005,9,4137
997,1/2017,19,7612
2298,11/1962,19,7599
2803,3/1980,32,4077
406,9/1958,25,7073
1037,7/1953,36,626
1812,11/1974,4,5123
560,7/1994,1,6864
4609,2/2015,37,429
3018,6/1998,4,4081
2900,3/1958,9,919
3300,11/1999,32,3770
3215,2/1980,50,4210
2719,10/1989,19,1918
2847,1/1981,31,157
1947,10/2006,38,5201
555,6/1999,30,5562
4658,4/1979,22,3031
4442,12/1967,37,6937
1046,3/2013,37,1789
4821,2/1986,11,3731
3516,8/1990,35,2774
4890,10/2004,27,7414
474,8/2009,22,507
155,6/1974,6,4280
1678,9/1967,41,6044
823,3/1963,22,1807
4862,1/2015,32,6626
4940,5/1968,43,5768
3949,8/1993,9,382
632,6/1972,25,1065
2779,11/1987,17,920
3510,4/1960,1,3905
3963,6/2017,45,1297
2467,9/1979,43,4025
3175,11/2003,42,7171
2129,10/1983,17,3398
3659,1/1950,21,7016
4125,4/2007,37,4963
190,10/1960,5,6500
23,4/1954,48,288
4900,10/1979,33,4658
4748,2/1968,22,329
4718,3/1972,18,1912
745,12/1960,16,1519
187,10/2004,20,3041
4751,10/1972,7,6269
2781,4/1958,35,266
1241,3/1996,13,3717
4650,6/1993,6,5088
3833,8/2005,34,2138
2520,5/1972,13,1571
1400,8/1995,24,4004
391,12/1970,10,3618
2846,10/1957,41,4793
1527,10/1993,6,4015
4010,11/1973,30,5044
1867,6/1954,41,2480
4536,2/1998,33,1625
659,1/2000,37,2215
526,7/1982,28,636
2248,2/1982,40,725
4964,11/1965,33,6163
2282,4/2013,12,5426
4916,6/1959,44,7763
4023,2/2002,40,2217
2161,2/1954,20,3870
4468,3/1990,1,388
3713,1/1964,50,5482
462,12/1975,40,2378
3420,12/2017,45,7365
3728,11/2001,14,4870
2564,12/1980,2,5825
80,4/2008,11,5650
4631,3/1963,23,4652
3523,7/1992,6,2947
3928,8/1976,11,2630
3928,8/1976,10,1198
1634,4/1963,24,4645
1447,3/2001,11,6670
4393,3/1984,35,6176
3956,1/1957,1,4886
1188,2/1993,4,875
3076,7/1959,43,5264
3006,3/1982,34,7248
1067,10/1988,42,7480
4073,1/2011,3,7586
3048,11/1996,8,6389
3967,3/1977,34,1687
4697,9/2011,33,3386
4194,1/2011,31,2009
4954,7/1955,25,1268
4657,8/2013,8,3764
879,10/1974,16,5940
3603,6/1999,47,2672
2794,12/1991,32,1245
1020,3/1956,50,5849
4462,1/1982,1,1216
2208,11/1968,22,4955
4362,10/1979,5,5972
2814,12/2008,38,7858
1103,1/1968,28,366
3666,1/1956,9,2585
4617,5/1987,39,2942
984,4/2007,9,3761
4897,10/1969,18,5354
4638,10/1982,37,1526
1372,5/1961,40,5436
2141,8/1993,32,2341
3889,10/2017,38,2526
2042,1/1964,49,2611
3573,1/2004,31,6172
4170,12/1991,24,273
270,5/1972,25,7200
14,4/1955,5,3297
4778,1/2017,33,4795
3949,2/1965,14,7121
3110,9/1954,31,7197
1161,2/2004,12,545
2360,2/2001,29,1495
709,7/1963,34,7047
2463,6/1971,38,4459
1379,12/1971,45,6726
4943,5/1963,10,1970
1899,9/1970,16,4142
1576,2/1973,15,2132
3482,9/2001,13,2799
3852,2/2014,28,1926
3,1/1958,31,3051
1355,9/2011,12,2226
2089,3/1957,31,5089
3815,7/2005,17,2439
3995,7/1952,14,6624
2970,7/1990,43,474
2410,11/1961,15,1017
1138,8/1978,8,4408
4630,12/1971,1,3461
602,5/1958,48,959
821,10/1980,40,1686
4868,3/1961,27,950
4822,2/1975,24,7996
1992,7/1989,42,3278
2066,4/1976,45,7592
3356,10/1968,5,6159
3754,9/1963,27,6772
1672,4/1961,26,3019
4793,5/1998,23,4188
2101,1/1969,24,7004
191,4/1988,18,5379
4454,5/1982,49,297
1257,2/1972,27,7474
3728,4/1994,3,217
2448,1/1973,48,7916
1361,12/1985,37,7653
1411,4/2003,39,4672
1178,12/1972,29,1568
1309,1/2017,3,7684
345,3/1961,18,364
4733,9/1951,7,3703
2918,10/1968,18,2456
2094,8/1979,21,4151
2657,4/1971,31,5506
1145,2/2001,16,4154
2093,1/1965,24,2985
3658,3/1956,26,2889
2353,12/1996,11,3889
2413,9/2014,3,4990
1298,10/1977,4,3496
4701,3/1990,48,7800
4821,3/1958,3,6100
758,10/2009,14,818
2579,8/1992,39,1578
3348,9/1980,29,6489
1048,5/1990,6,4087
4460,2/1962,15,5990
1480,4/1983,7,3338
1091,2/1973,29,3297
1117,2/1951,27,2336
748,9/1991,6,1899
1351,11/1990,49,7229
2353,8/1964,32,5120
2188,7/1976,42,2366
2987,4/1960,17,501
466,9/1986,12,6753
2392,9/1980,20,3093
952,10/2008,44,667
1544,12/1978,39,2892
4166,3/2014,7,5463
3706,9/1954,46,2594
2047,4/1963,10,141
1232,4/1997,24,3850
126,2/2008,15,6263
