2109,19742,24,6532
3965,198211,33,6851
1943,20009,32,4147
1429,20157,4,3976
7,198810,45,7874
3090,200510,22,1478
1771,19746,13,4277
1518,195511,24,475
765,20164,10,2725
3038,19807,37,5911
2842,19887,6,3640
3638,19644,21,7911
3885,20144,50,7349
375,200610,9,2195
1080,20144,23,3991
4115,19679,30,5615
3038,19807,12,3632
1864,197411,25,432
701,199110,22,4993
3366,19567,22,4475
4566,19834,18,5779
2678,200012,49,1877
4943,201311,50,5425
2021,19638,1,6614
446,201510,41,1929
939,19517,41,7931
54,19869,11,5314
931,20026,15,1268
1990,19817,14,1152
839,20168,15,3883
4820,20085,33,87
3432,19811,34,1029
1858,19925,1,5603
2961,19945,30,512
1713,19755,24,2229
1654,19738,36,2701
2637,195712,25,4575
4050,20066,14,4385
2551,19984,37,438
4275,200511,20,3618
1738,19822,31,4418
1498,19893,2,6213
2699,19896,44,3002
3986,196611,12,682
2152,197510,22,7040
4379,19692,29,5149
3853,19533,39,7896
4135,19952,22,6211
1621,20171,37,2126
3051,19646,41,1322
4331,19846,46,7600
1247,19972,49,1062
1018,198610,38,4636
1754,19728,23,488
3398,20064,25,2042
4228,19682,36,407
1326,19607,11,5887
4656,19799,5,6154
4173,19799,40,7156
4192,20066,45,2912
1599,19866,30,4854
1300,19979,11,3386
4844,19672,49,1314
4898,20109,46,3119
2126,195811,34,957
4666,19518,19,4568
1164,19531,31,259
195,196412,9,5830
3965,19688,16,3383
2102,200310,50,2135
3270,20141,21,5608
4644,199611,4,2073
875,19742,50,6186
4672,20157,26,690
3460,20117,35,47
4961,197112,5,736
2998,19835,12,7305
4964,199311,38,4767
858,196210,33,6307
1140,19848,1,482
2624,198710,19,4579
2782,19995,8,3645
1073,19727,45,6965
2615,20021,33,3204
2543,19905,47,1203
4824,19989,40,4893
34,195012,16,3996
2231,19611,48,1527
1265,20095,41,6477
3461,19777,13,2177
3831,195210,13,4550
2979,19502,3,1722
2080,20142,46,590
4251,19718,47,1409
4829,20144,5,7982
1309,19686,49,2057
4850,200810,4,1562
3817,19582,13,7359
3055,20059,16,3776
1409,19644,1,7284
3633,199010,17,6696
407,19568,48,5517
3068,197011,28,407
2957,200812,50,837
73,19917,33,3734
4278,197011,21,1681
4720,19845,39,3249
1170,19576,4,738
259,198611,1,5530
136,19959,32,5643
1745,197312,20,3406
4396,19706,41,7278
2322,19724,34,5670
2126,19756,4,6443
2022,19574,18,3319
615,20077,17,5542
3956,200712,13,1283
466,196510,18,935
3923,20082,2,4954
3882,19557,37,6255
1000,199812,24,965
2223,20113,35,958
1759,200411,33,5794
2862,20072,42,7983
237,20163,19,3291
4333,19671,14,3248
561,195011,32,5403
3505,19549,39,4481
67,20054,12,7894
2856,19773,43,3312
1762,20074,33,4494
2016,19699,12,2750
3593,197010,49,5900
2617,197512,50,7984
1340,19556,25,503
738,19676,49,1470
992,19571,35,6023
4537,201412,23,7850
3350,20038,24,5743
4432,19994,5,1731
789,195711,47,606
4386,20149,1,5432
2776,198110,21,328
4176,20163,15,6653
3880,198610,29,7609
3002,200212,46,3356
4998,198510,30,1729
2434,19913,41,821
4982,19813,7,4816
1303,199011,10,7193
353,201510,9,1132
4966,19587,27,6694
2210,20029,38,3597
1814,195411,8,6610
4098,19541,20,1038
1654,19602,26,7697
1985,20123,39,6022
1927,19519,17,1005
4111,19544,35,1524
1897,19989,34,3933
1664,19774,22,7309
4636,19931,8,7834
1659,19921,11,551
3283,19849,42,7596
3878,19795,6,1967
2025,20157,3,4397
1450,19698,31,5900
930,19608,47,7185
915,19766,39,7383
888,19612,9,0
2132,201412,25,3338
2174,19761,21,6322
80,19991,44,3091
4712,20064,37,4588
3990,19589,18,6229
1961,20068,7,637
2228,19524,22,252
607,19778,38,6141
1677,19638,7,4683
3425,19642,5,1360
3190,200610,28,7438
3250,195211,17,2927
1051,20144,32,5082
4448,19645,3,2610
2038,19915,39,2790
341,20142,23,6603
436,19892,16,6089
16,196910,6,2811
3506,19815,4,5943
1348,197311,42,7469
4263,19699,48,4558
2780,201211,15,6336
2768,19856,34,6468
3210,199410,4,66
772,200711,30,2002
2375,20149,43,206
1865,19965,8,7147
1621,20178,34,2629
3639,19977,35,6279
3607,19887,14,584
1321,20052,33,2018
4187,19808,27,212
2924,19654,15,5826
1072,19511,31,415
4268,19982,47,4771
3930,19653,46,674
4599,20112,37,4297
4660,19659,27,2839
3459,20177,3,3223
3126,199612,35,3589
4744,19818,15,2493
3654,19954,18,2028
4186,19834,27,5114
1881,19735,5,3850
4629,20026,26,5015
4096,19542,9,3114
4014,20024,25,5192
1531,197912,24,470
1701,20054,22,2287
4773,198612,41,3556
3563,19832,46,1828
3091,19932,31,6650
4078,19738,49,2055
3048,20098,34,5322
1625,195311,16,6631
2214,19534,10,4047
2426,20139,27,740
2240,19848,39,1119
165,195712,23,5243
3308,19863,43,4595
2466,19816,1,7122
4673,19721,8,447
3335,19732,47,6244
2369,19574,17,1954
2424,196112,18,5436
4772,20138,17,7203
1903,19913,29,3597
333,196210,47,1759
2398,19618,28,1761
1225,19996,38,3066
1470,19837,15,6382
4307,19784,10,5297
2309,19848,34,7165
2918,197611,36,6539
1273,19794,28,3471
3285,20074,11,2893
1345,198311,45,1131
4932,19552,41,155
2831,20002,46,4398
2701,19939,26,2680
3315,195511,28,383
2519,19654,4,1050
1220,19558,32,3746
3564,20159,46,5294
2090,19762,3,1751
484,20135,17,3383
3257,198310,11,7126
118,19569,35,637
1280,197712,43,749
403,19954,10,7605
1048,19731,24,1062
2014,20107,18,7777
4933,19879,21,3648
